Name,Address,Municipality,Categories,Cuisine_Type,Rating,Rating_Band,Latitude,Longitude,Is_Halal,Is_Vegetarian,Is_Vegan,Has_Parking,Is_Family_Friendly,Is_Romantic,Has_Scenic_View,Has_Outdoor,Has_Wifi,Dominant_Topic,Topic_Label,Topic_1_Pct,Topic_2_Pct,Topic_3_Pct
Kbbsteak,"LOT 4063, Jalan Sultan Zainal Abidin, Kampung Tanjung, 20000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Steak House,Western,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,5,Western & Fusion Food,64.57,22.4,11.52
Restoran Gossip Kitchen,"63-B, Jalan Sultan Ismail, 20200 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,No,Yes,Yes,No,No,5,Western & Fusion Food,62.0,27.31,7.97
The Vinum Xchange,"221, Jalan Kampung Cina, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Western Restaurant,Western,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,Yes,No,No,5,Western & Fusion Food,61.53,25.12,10.09
Restoran Plan A,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,No,Yes,Yes,No,No,No,1,Overall Dining Experience,72.07,17.86,5.99
Uncle Chua Signature,"Ground Floor, Lot 3546 & 3547, Jalan Sultan Zainal Abidin, 20000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,Yes,No,No,Yes,No,Yes,No,No,No,5,Western & Fusion Food,64.91,29.55,3.85
Warung Pok Nong (Celup Tepung),"Jalan Pantai, A1693, T145, Kampung Teliput, 21030 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Seafood Restaurant,Seafood,4.0,Very Good (≥4.0★),,,No,No,No,Yes,Yes,No,Yes,No,No,6,Seafood & Local Snacks,61.57,25.61,9.67
Qween'S Diner,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,Yes,No,No,3,Location & Ambiance,62.19,23.18,8.83
Umami Restaurant,"82, Jalan Kampung Cina, Kampung Banggul, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,No,No,Yes,No,No,6,Seafood & Local Snacks,74.64,15.87,5.14
Nasi Dagang Atas Tol - Kg Atas Tol,"Hadapan Surau Tanah Lot, Kg, 21070 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,No,Yes,No,No,1,Overall Dining Experience,53.8,24.28,13.57
Rahsia Kitchen,"1412, Jalan Budiman, Kampung Mengabang Tengah, 20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,No,No,No,5,Western & Fusion Food,64.35,21.58,9.54
D' Tunggal Seafood,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,No,No,Yes,No,6,Seafood & Local Snacks,64.31,22.74,7.38
The Syrup Vs Soda,"3373, Jalan Batas Baru, 20300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,No,Yes,Yes,No,No,5,Western & Fusion Food,55.69,21.59,13.06
Restaurant Ocean,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,No,No,No,No,No,No,6,Seafood & Local Snacks,67.29,23.52,6.83
