Name,Municipality,Categories,Rating,Review_Text,Cleaned_Text,Dominant_Topic,Topic_1_ID,Topic_1_Pct,Topic_2_ID,Topic_2_Pct,Topic_3_ID,Topic_3_Pct
Kbbsteak,Kuala Terengganu,Steak House,5.0,"I recently had the pleasure of dining here and was thoroughly impressed! The Wagyu burger is a must-try—it was incredibly juicy and flavorful. The pasta was perfectly prepared, and the grilled chicken Caesar salad was fresh and satisfying.

What really stands out is the high quality and taste of all the ingredients, especially the meat. You can tell they use premium produce.

A big thank you to all the crew members for their excellent service. Highly recommend!",recently pleasure dining thoroughly impressed wagyu burger musttryit incredibly juicy flavorful pasta perfectly prepared grilled chicken caesar salad fresh satisfying really stand high quality taste ingredient especially meat tell use premium produce big thank crew member excellent service highly recommend,5,5,50.26,3,26.96,6,21.41
Kbbsteak,Kuala Terengganu,Steak House,5.0,"Great meals ! Welldone to the chef & the rest of the team. Been wanting to eat at this eatery & tonight we had our dinner here. We had sirlion steaks & it was cooked perfectly to our request ; medium rare. Ordered prawn bisque soup it was so yummy & I must say it tasted s a michelin star quality. The green salad are fresh & tasty with a dash of balsamic vinegar. The jacket potatoe are equally tasty.
Food : 10/10
Ambience : 10/10
Service : 10/10

Hats off to Mr Fahmi for attending to us. Keep up the good job.

Support local eateries !!!",great meal welldone chef rest team wanting eat eatery tonight dinner sirlion steak cooked perfectly request medium rare ordered prawn bisque soup yummy must say tasted michelin star quality green salad fresh tasty dash balsamic vinegar jacket potatoe equally tasty ambience service hat fahmi attending keep job support local eatery,5,5,49.45,1,30.63,6,18.97
Kbbsteak,Kuala Terengganu,Steak House,5.0,"Made a reservation for my husb's birthday. Fast response from staff. Staff are all helpful and welcoming. Got a private room which is good and also got a complimentary food. Spagetti, burger and angus steak so yummy. Would love to repeat again.",made reservation husbs birthday fast response staff staff helpful welcoming got private room also got complimentary spagetti burger angus steak yummy would love repeat,5,5,41.35,3,38.98,1,17.66
Kbbsteak,Kuala Terengganu,Steak House,5.0,"omggg what a nice steakhouse 😭❤️

brought and treated my parents and grandparents yesterday.. they really complimented the food (even though they don’t really like western food) and the environment!

what we ordered:

1. ultimate wet burger
2. angus and ribs platter + 2 free drinks of our choice (lemon frizz and raspberry frizz)
3. fettuccine beef carbonara
4. tiramisu for dessert!! best one ever
5. 2 kbbsteak mineral water + 1 free cuz the service is superb!! hehe iykyk
6. COMPLIMENTARY GARLIC BREADS AND BUTTER (i think with truffle) sedap gilaaaa

and it was just under RM370!!! you guysss that’s a steal you know?? ribs sedap gila, angus well done, best carbonara i have ever had AND my dad lovedddd the burger so much! i love everything and will definitely go back hehe treat my little brother next time",omggg steakhouse brought treated parent grandparent yesterday really complimented even though dont really like western environment ordered ultimate wet burger angus rib platter free drink choice lemon frizz raspberry frizz fettuccine beef carbonara tiramisu dessert one ever kbbsteak mineral water free cuz service superb hehe iykyk complimentary garlic bread butter think truffle sedap gilaaaa guysss thats steal know rib sedap gila angus well done carbonara ever dad lovedddd burger much love everything definitely back hehe treat little brother next time,5,5,77.98,1,11.86,4,9.3
Kbbsteak,Kuala Terengganu,Steak House,5.0,"Since we were still full, we stopped by just to enjoy their burgers. Having been a regular back when we lived in Kota Bharu, I’m glad to say their homemade burger patties are still as delicious as ever. The premium texture and flavour of the meat remain consistent, only the price has changed. The restaurant’s layout is attractive, with a stylish and exclusive feel that adds to the dining experience.",since still full stopped enjoy burger regular back lived kota bharu glad say homemade burger patty still delicious ever premium texture flavour meat remain consistent price changed restaurant layout attractive stylish exclusive feel add dining experience,5,5,60.61,3,37.1,1,0.84
Kbbsteak,Kuala Terengganu,Steak House,4.0,"The food, service, and ambience were superb! However, I would suggest serving the Earl Grey tea in an individual pot instead of a cup for a better presentation and experience. Also, it would be a nice gesture if warm water could be offered free of charge as a courtesy.",service ambience superb however would suggest serving earl grey tea individual pot instead cup better presentation experience also would gesture warm water could offered free charge courtesy,1,1,96.93,5,0.75,6,0.7
Kbbsteak,Kuala Terengganu,Steak House,5.0,"I’m very happy with both the food and the service. The dishes were delicious, well-prepared, and served fresh. The staff were friendly, attentive, and made the whole experience enjoyable. The atmosphere was comfortable and welcoming. I would definitely come back again..Terbaik KBB Terengganu!!!",happy service dish delicious wellprepared served fresh staff friendly attentive made whole experience enjoyable atmosphere comfortable welcoming would definitely come back againterbaik kbb,3,3,43.06,1,31.98,6,22.65
Kbbsteak,Kuala Terengganu,Steak House,5.0,One of the best steakhouse I've been to. The meat was tender and doneness was exactly to my request which was medium rare.I personally have low salt tolerance so the steak with combination or sauce was too salty for me but I think it's just me. Not a potato/ beans person but this sides complemented the steak perfectly. Might just fly back to terengganu just to eat here again.,one steakhouse ive meat tender doneness exactly request medium rarei personally low salt tolerance steak combination sauce salty think potato bean person side complemented steak perfectly might fly back eat,5,5,96.92,1,0.97,6,0.64
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,4.0,Had our dinner here. Outlet is spacious and clean. Ordered our food using QR code. Foods very tasty. Portion very generous. Staffs very friendly.,dinner outlet spacious clean ordered using code food tasty portion generous staff friendly,1,1,94.85,5,1.25,6,1.18
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,5.0,This place is AMAZING. I am genuinely lost for words of the place's quality. The service is out of this world and is very professional. The food is literally the best I have tried in Kuala Terengganu (and I have been here multiple times for longer periods). The cleanliness of the restaurant is also amazing. Literally everything is good about the place.,amazing genuinely lost word place quality service world professional literally tried kuala multiple time longer period cleanliness also amazing literally everything,3,3,41.84,1,38.06,6,11.83
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,4.0,"Came here for dinner, the Creamy Tomyam Pasta is quite good, but the chicken quesadillas is underwhelming, there’s too little chicken inside, makes me feel like it was not worth the price

But overall the service is great, Average spending per person is RM30

Parking available on the back side",came dinner creamy tomyam pasta quite chicken quesadilla underwhelming there little chicken inside make feel like worth price overall service great average spending per person parking available back side,5,5,71.91,1,15.21,2,10.73
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,5.0,"Nice food ... Had western cuisine dinner (2 pax) ...
Can request for mushroom sauce beside black pepper ... Generous portion ...
Friendly staff ... Quite atmosphere & very clean ...",western cuisine dinner pax request mushroom sauce beside black pepper generous portion friendly staff quite atmosphere clean,5,5,57.13,1,22.28,3,18.46
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,4.0,"Food: The portion of chicken fried rice was large and the taste was okay... but the beef burger tasted bland - needs improvement.

Environment: clean and comfortable.

Service: slow.",portion chicken fried rice large taste okay beef burger tasted bland need improvement environment clean comfortable service slow,5,5,61.31,1,35.95,6,0.83
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,5.0,"We are on a road trip from KL to celebrate my wife's birthday.
So glad we chose this place to have the birthday dinner.  Lamb shank was nicy braised coupled with a delicious sauce, chicken chops and the carbonara was delicious too.
The oysters was nice and fresh.
I can tell they put in a lot of effort on food quality from how the nice gentleman explained us the popular items from the menu.
We loved our experience here.
Oh and big thank you for the complimentary creme brulee served for the birthday girl.
We will definitely be back.",road trip celebrate wife birthday glad chose birthday dinner lamb shank nicy braised coupled delicious sauce chicken chop carbonara delicious oyster fresh tell put lot effort quality gentleman explained popular item menu loved experience big thank complimentary creme brulee served birthday girl definitely back,5,5,60.73,1,24.8,3,13.38
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,2.0,"Went with very high expectations after reading the reviews but disappointed. The spaghetti
was overboiled. The service was okay. The soft crab fry was not tasty unfortunately. The mozzarella cheese sticks were good. Would recommend that only. Mushroom soup tasted packeted. Sorry, didn’t want to write this but I hope this feedback helps you to improve your food.",went high expectation reading review disappointed spaghetti overboiled service okay soft crab fry tasty unfortunately mozzarella cheese stick would recommend mushroom soup tasted packeted sorry didnt want write hope feedback help improve,1,1,46.82,5,45.96,6,5.88
Restoran Gossip Kitchen,Kuala Terengganu,Restaurant,4.0,"The food quality in this true western theme restaurent is surprisingly high in this layback town.

You will not find better food even in bigger towns in other part of Malaysia.

The taste and presentation of food offerings here justify the prices on the menu.

It is really worth a visit if you are in town.",quality true western theme restaurent surprisingly high layback town find better even bigger town part malaysia taste presentation offering justify price menu really worth visit town,5,5,61.39,6,34.99,1,1.45
The Vinum Xchange,Kuala Terengganu,Western Restaurant,5.0,"we ordered aglio olio, pork burger and salted egg fish rice. all delicious and we are all satisfied with our meals. worth the money. staffs are attentive too.",ordered aglio olio pork burger salted egg fish rice delicious satisfied meal worth money staff attentive,5,5,67.25,1,15.23,6,15.19
