Rank,Name,Municipality,Cuisine_Type,Rating,Topic_Label,Hybrid_Score,KBF_Score,LDA_Score,Is_Halal,Is_Family_Friendly,Has_Parking,Is_Romantic,Has_Scenic_View,Has_Outdoor,Has_Wifi,Is_Vegetarian,Is_Vegan,Address
1,Samsul Racha Tomyam Ala Thai,Kuala Terengganu,Other,5.0,Seafood & Local Snacks,100.0,66.67,97.71,No,Yes,Yes,No,No,No,No,No,No,"Kampung Batu Enam, 21060 Kuala Terengganu, Terengganu, Malaysia"
2,Warung Pok Nong (Celup Tepung),Kuala Terengganu,Seafood,4.0,Seafood & Local Snacks,98.14,83.33,89.51,No,Yes,Yes,No,Yes,No,No,No,No,"Jalan Pantai, A1693, T145, Kampung Teliput, 21030 Kuala Terengganu, Terengganu, Malaysia"
3,Medan Ikan Bakar Kuala Ibai (Bawah Jambatan),Kuala Terengganu,Seafood,5.0,Seafood & Local Snacks,98.04,83.33,87.94,No,Yes,Yes,Yes,Yes,Yes,No,No,No,"20400 Kuala Terengganu, Terengganu, Malaysia"
4,Auntie Dayana'S,Kuala Terengganu,Other,5.0,Seafood & Local Snacks,96.11,66.67,92.51,No,Yes,Yes,No,No,Yes,No,No,No,"Plaza perdana, Jalan Engku Sar, 20300 Kuala Terengganu, Terengganu, Malaysia"
5,Umami Restaurant,Kuala Terengganu,Other,4.0,Seafood & Local Snacks,95.3,50.0,100.0,No,No,Yes,No,Yes,No,No,No,No,"82, Jalan Kampung Cina, Kampung Banggul, 20100 Kuala Terengganu, Terengganu, Malaysia"
6,Restoran Santong,Kuala Terengganu,Other,5.0,Seafood & Local Snacks,95.06,50.0,98.26,No,Yes,No,No,No,No,No,No,No,
7,368 Sam Hok Paet Thai Restaurant,Kuala Terengganu,Other,5.0,Seafood & Local Snacks,94.55,50.0,97.58,Yes,No,No,No,No,Yes,No,No,No,
8,Sejati Chinese Mix Rice,Kuala Terengganu,Other,4.0,Seafood & Local Snacks,93.67,50.0,97.83,No,No,Yes,No,No,No,No,Yes,No,"Kampung Wakaf Tembesu, 21300 Kuala Terengganu, Terengganu, Malaysia"
9,"D'Rhu Bayu Seafood Restaurant, Marang, Terengganu.",Kuala Terengganu,Other,4.0,Seafood & Local Snacks,93.3,66.67,90.2,No,Yes,Yes,No,Yes,No,Yes,No,No,
10,Nasi Kukus Sempoi Alias 2,Kuala Terengganu,Other,5.0,Seafood & Local Snacks,90.26,66.67,84.72,No,Yes,Yes,No,No,No,No,Yes,No,"Lrg Kapas, Gong Kapas, 21100 Kuala Terengganu, Terengganu, Malaysia"
