Rank,Name,Municipality,Cuisine_Type,Rating,Topic_Label,Hybrid_Score,KBF_Score,LDA_Score,Is_Halal,Is_Family_Friendly,Has_Parking,Is_Romantic,Has_Scenic_View,Has_Outdoor,Has_Wifi,Is_Vegetarian,Is_Vegan,Address
1,Anjung Selera Kota Putera,Besut,Cafe,5.0,Location & Ambiance,100.0,60.0,100.0,No,No,Yes,No,Yes,No,No,No,No,
2,Nasi Dagang Nasi Minyak Roti Canai Besut(Restoran Mak Su Yah),Besut,Malay,5.0,Location & Ambiance,95.61,60.0,94.16,Yes,No,No,No,No,No,No,No,No,
3,Mcts (Mr Celup Tepung Station),Besut,Seafood,5.0,Location & Ambiance,88.95,60.0,85.32,No,No,Yes,No,Yes,No,No,No,No,
4,Kedai Makan Sedap Murah Ueleen Corner,Besut,Other,5.0,Location & Ambiance,88.65,40.0,93.49,No,No,No,No,No,No,No,No,No,
5,Kuala Besut Terminal Cafe,Besut,Other,5.0,Location & Ambiance,85.34,40.0,89.09,No,No,No,No,No,No,No,No,No,
6,My Rasa Cafe,Besut,Other,4.0,Location & Ambiance,82.4,40.0,86.61,No,No,No,No,No,No,No,No,No,
7,Wow Rc Setiu (Roti Blackpepper Joget Kambing),Besut,Other,4.0,Location & Ambiance,75.59,40.0,77.57,No,No,No,No,No,No,No,No,No,
8,Jak Sate Dataran,Besut,Malay,5.0,Traditional Malay Food,31.18,80.0,0.0,Yes,No,No,No,Yes,No,No,No,No,
9,Kedai Nasi Air Kak Long,Besut,Malay,4.0,Malay Review Sentiment,30.11,80.0,0.0,Yes,No,Yes,No,Yes,No,No,No,No,
10,"Mateema Ikan Bakar Dan Seafood,Kampung Raja Besut,Terengganu (The Best Ikan Bakar Dapur Arang In Besut)",Besut,Other,4.0,Overall Dining Experience,30.11,80.0,0.0,No,Yes,No,Yes,Yes,No,No,No,No,
