Rank,Name,Municipality,Cuisine_Type,Rating,Topic_Label,Hybrid_Score,KBF_Score,LDA_Score,Is_Halal,Is_Family_Friendly,Has_Parking,Is_Romantic,Has_Scenic_View,Has_Outdoor,Has_Wifi,Is_Vegetarian,Is_Vegan,Address
1,Pok Din Kopi Power,Dungun,Other,5.0,Traditional Malay Food,100.0,50.0,100.0,No,No,No,No,No,No,No,No,No,
2,Chillaxgate Restaurant,Dungun,Other,4.0,Traditional Malay Food,91.16,50.0,90.06,No,No,No,No,No,No,No,No,No,
3,Shawarma Habibiy,Dungun,Malay,5.0,Malay Review Sentiment,38.89,100.0,0.0,Yes,No,Yes,No,No,No,No,No,No,
4,Sheikh Syed Mohamad Restaurant,Dungun,Malay,5.0,No Reviews,38.89,100.0,0.0,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
5,Restoran Salamath,Dungun,Indian,5.0,Overall Dining Experience,30.56,75.0,0.0,Yes,No,No,No,No,Yes,No,No,No,
6,Uncle Chua Signatures,Dungun,Other,5.0,Western & Fusion Food,30.56,75.0,0.0,Yes,No,Yes,No,Yes,Yes,No,Yes,No,
7,Mee Sup Sue Bunga,Dungun,Asian,5.0,Malay Review Sentiment,22.22,50.0,0.0,No,No,No,No,No,No,No,No,No,
8,Restoran Putera Duyong,Dungun,Other,5.0,Seafood & Local Snacks,22.22,50.0,0.0,No,Yes,No,Yes,Yes,No,No,Yes,No,
9,Restoran & Katering Kusyam Nasi Kukus,Dungun,Other,5.0,Location & Ambiance,22.22,50.0,0.0,No,No,No,No,No,No,No,No,No,
10,Pine Beach Cafe/Restaurant,Dungun,Western,5.0,Malay Review Sentiment,22.22,50.0,0.0,No,No,No,No,No,No,No,No,No,
