Rank,Name,Municipality,Cuisine_Type,Rating,Topic_Label,Hybrid_Score,KBF_Score,LDA_Score,Is_Halal,Is_Family_Friendly,Has_Parking,Is_Romantic,Has_Scenic_View,Has_Outdoor,Has_Wifi,Is_Vegetarian,Is_Vegan,Address
1,Warung Roti Tempayan,Kemaman,Other,5.0,Western & Fusion Food,100.0,75.0,100.0,No,No,Yes,No,No,No,No,No,No,
2,Geliga Bus Terminal Food Court,Kemaman,Other,5.0,Western & Fusion Food,92.12,75.0,89.02,Yes,No,Yes,No,No,No,No,No,Yes,
3,Kedai Makan Kuala,Kemaman,Other,5.0,Western & Fusion Food,87.9,50.0,93.87,No,No,No,No,No,No,No,No,No,
4,Kampung Kitchen,Kemaman,Other,5.0,Seafood & Local Snacks,28.21,75.0,0.0,No,No,Yes,No,Yes,No,No,No,No,
5,Cafe Joegolok Kerteh,Kemaman,Other,5.0,Overall Dining Experience,28.21,75.0,0.0,No,Yes,Yes,No,No,No,No,No,No,
6,Chubit Chubit Ikan Bakar Telok Kalong,Kemaman,Family,5.0,Overall Dining Experience,28.21,75.0,0.0,No,No,Yes,No,Yes,No,No,Yes,No,
7,Restoran Abu Nur,Kemaman,Other,5.0,Malay Review Sentiment,28.21,75.0,0.0,No,No,Yes,No,No,No,No,No,No,
8,Botok Food Corner,Kemaman,Malay,5.0,Malay Review Sentiment,28.21,75.0,0.0,Yes,No,Yes,No,No,No,No,No,No,
9,Saltwater Kopitiam,Kemaman,Other,5.0,Overall Dining Experience,28.21,75.0,0.0,No,No,Yes,No,No,No,Yes,No,No,
10,Pokdin Yong Tau Foo / Steamboat & Grill,Kemaman,Other,5.0,Malay Review Sentiment,28.21,75.0,0.0,No,No,Yes,No,No,No,No,No,No,
